transaction_hash,input_addresses,input_values,output_addresses,output_values,transaction_fee
31599ff375e4299b8a9bccddf20b1333fa0cf683d7fe1e83eb4324cbc6e83041,bc1qf8jdk98wp9gpk64up0xv38xdjlzpcama9shvcg,1309946,3KRvR8nzua1eSrdUVvDynpodGCQXd8XKCJ:bc1qgvlghmzrwlgltq87quadkjmdh6dyt7qdzyuchd,467552:834709,7685
98ace9905ea7cb289a6eb1c5f7d0c4bd2d7f2a7a9b5ce7ee610e49783b8de7ae,bc1qk6445gf6cdjpk6vnffx764wyjd05dvcue3ggrh,161850,bc1qk6445gf6cdjpk6vnffx764wyjd05dvcue3ggrh:1AncVHdnkKwPRbtcB3meCNXYDL5syYmtRg,158636:1310,1904
ba6cd875e44982a6c64a93d11932500c5aa5f215c4d564ababf1bfe5c4009b7f,bc1q4qg53z9g82jxs3elq9vc6elfsqxwzyrk48twvs,29554,14gQAikk438HsHjw7Dqekd3nh1t4R5waJs,23842,5712
c8ba8611ed874d330c80da0e571248bc4269cdc273b49eec3bd67373d3f4a901,bc1qyjn23w77c55v2nqe4086a6ewcchrfesxwz3fte,7101826,bc1qaz069ckh6wu7qsz8f2mm67rrunfe6wqdd7ramd:bc1qlnners3c20wrm40f8uzugv9fmwk2memfmyad7l,3163947:3937552,327
79ac69cb7db06425aa5f55ddc0d6706b0b828de4dea758528ecfe780e1c27e76,bc1qsmn4d96sdvajxgewmqn09chxrecer3ngtgle9g:bc1q73g94hsaed7k554afqnjuvleuwgpeeaw5nfpv3:bc1qc694s37f6ww7w9dg7r73un3dff74f5h3k6h7pd:bc1q73g94hsaed7k554afqnjuvleuwgpeeaw5nfpv3:bc1qdfrmw23tuvtsjmk7nzwdsf5edeckted26qa69r:bc1qxmfc8fw4258zjg7q00cn5f2uf5af3sel6l5hez:bc1ql0nzqqdufq3tl6x2acapzxgrch58ru0rw7xvl9,435414:1114101:1006306:13930:3839796:2280170:811280,bc1qg888z9h803uqy4dd67mexhcdcrke7rxtpd7k7y:3JnpZ8nDZbBpLraazJD1LDbYpXmEZtGRh3,395400:9100000,5597
7deaf74e5644f48ffe6d186ea94394b62ff049a0318f96d91a379b0e1a27c7f2,bc1qtk7c37yhxva2c77nxnm3vushzyrlmjgfpgfdk4,122269,3GrcHa65mgpcugERzzQudacyQxhCeWRzB5,115680,6589
bd6475ce7a94af0f2d66b7d797783ae2ca4b8ba3c98f03695a4e34cfaca0117f,39By94bpwB3iQQviyGy5y29qcqqmZxkggm,691640,bc1qj7jrclspgnyyk2aw3q3v4xrte6c5gndjvqyxdr,682118,9522
376fae472235f95c2c24beb087b675b830af9db0a00435521c786146c89b0a71,1LQnKi65Rivih8kWbMNxYV6MRg9cy1RqmH,25355,38Q36RRuzWBdS8m5yjPBM1exAVxoToYXrg,24591,764
393f845fc3bc651d370c5613782812c8dcfaea5b52ea28a96a8988f94bf7e4b4,bc1qy95pnzmnkmm29cdluhstgpegj2l7pg7tj93y4p,171111222,bc1qm6gvps4at8p2ahllqa0aerusfzr79g2mer7jyc:bc1qy95pnzmnkmm29cdluhstgpegj2l7pg7tj93y4p,4270000:166833185,8037
3e60508b6a22abf62c0e5768eaa1b9c234fa36e3802d70761f64aeb0777fd60f,1H3tZ2nmW1bTs7qRYS4xUZwaSa3zm614zg,80965510,3ECBLQoZyf9szvmjihuUPW8BTcAqePJ34r:14y4Z27pvL6Fyo4WawkYGRBmwtg3rzTGrq:1H3tZ2nmW1bTs7qRYS4xUZwaSa3zm614zg,192500:192500:80541309,39201
48e1fc835d54d4c66885e01de4a0c9967d9e726da62b7d4fe0330587432a7b5a,bc1qk3qmexuwh6rnp9qca33elg3x364q6upxskwe40,90073383,bc1qgzv693n7um0rt2p5dlqeme438vd74d6ndstesq,90066224,7159
8b69efba7ef9a1a2ce858fd7be4deb463b74988c56ef4f12bb56d73606d6b1b2,bc1qesa276g4txphy3lj89zew3gjfu0f34dd9ef5ll:bc1qykv7auemal2lxd4try2ptv6tjwzhx8g6ewfaa5,568:48852370,3BTHMWetpGT6oyQ9EZUjMKAjVeepQ9sLLc:bc1qesa276g4txphy3lj89zew3gjfu0f34dd9ef5ll,274979:48553649,24310
2e4946a29e962428785dc1f30178420545af60efb32c5cc3df4b9605b42ef926,31qhqtSFcZcCdZFF3ieCLaNbA6SFpRfEuJ:35zuzNrAdfF6ZB46iVSnXeZqmp1pH3BxPT:3NUc6uCpZBG6AbKArzuJaC8wdnfRiW1XEz,78516:311653:412576,3JLyiGm1WhnhoYWYsRrh3aZRJRNEsH4EBo:1FXP1B228M3KNozwagtLTkT7uDAjKtqwP3:1CzBH7YLtFUV3UYXbk6VFdSJqhNrk9a5LP:1FEVWjeFRTunqRUxqmJmmM3y93Uu2aCanq,213770:82370:410670:95270,665
e5db68803c013e30021a52c27e5fdb24c123ea31a8e711d189f249bf482e51bc,3GRE7v6YpbGb8EmXbwdrk6vt2GFofwUzm1,1108467,13xA6cY5xRQkuXD33XHwXbfzNTinGw15Fx,1100000,8467
864eab095dac787f67f524c439ab5813618da8464a5f6888b5a14748ee5d5829,bc1q0t6vy09nqgg9srr5gvrga8zhjmgwaj93m9h04d:bc1q0t6vy09nqgg9srr5gvrga8zhjmgwaj93m9h04d,1576930:1765050,bc1qz6q8qkdh998yqv0j2hvqm7w76s9e0k8z93ewpz:34W8t24UJtaFuAdujQ9HuSA5fWfFUMWS7U,5135:3330632,6213
66d4e784e79c3c6aaf9dfe4730846aea90f37f7c828455dfc96b6e011e7c2974,bc1qjlus5ryycxxpy3nrztw62v806gs29plhdd29ws:bc1qrxykmtp6p2sp226se7rx966a7n2n6vjw2n4jkv,1243833:1008225,bc1qcf5u56ukgdu3npn8psl9tmq72rwfcxt7nalyfv:bc1qc5gjfsec7f2m42gesrfcn53dv4vqeyf0mzkwv6,1386539:863687,1832
01ae5cfb996597e06e78cbc7fd93496b7ab791bbc71a7cdf1d3dbcd23b6d7616,bc1qklnd6j00amk8nn6h40zmrn7yh775px5fuc9yql:bc1qklnd6j00amk8nn6h40zmrn7yh775px5fuc9yql,113000:31306,3EycrAKyThAdEzcHnsdd6MBRsp6o92baoy,134103,10203
f682131fb9f2f9630f6beff017ab00855d342462fb7e9fe20de9f6ab01b9607a,bc1qwd4mks533rmmy0xrhjrlf258e0whst85rzrhmf:bc1qwd4mks533rmmy0xrhjrlf258e0whst85rzrhmf,90764:308532000,bc1qsmurj0u32gzk4ju4e47srahetttphuhewtfrdk:bc1qwd4mks533rmmy0xrhjrlf258e0whst85rzrhmf,50000000:258583092,39672
3497eaeaeac9305cb4bffc8d42d99a69e68c69830eeaf3651038cee7c753f29f,bc1qmrydm75ur9v3zj9c8tj483trjfg8wu0ljwpqpt,77500,1Hn9yDiS3HZ7tjAcU7MsSdzjR9ZkoucwNj,71421,6079
62660425b88c967a5e7f68a404eb87aaa6df0e3d235c152c05c4f1645db46c36,bc1qqqvpjv7p79sru4nkdknjfyq83p5ehmxahdpjnq,16769679,3MP1U9whrxopKom6mJXDfNE6a5c8PD614Y:bc1q5mj050rlsgddmddvhz5743znal5zfwhg8l2p9g,480000:16281180,8499
9a12beac9342615e0a615209d78897cf814aeea2d72e74da1214382ff1e50f4e,3ESQRCA9t4f643wEEQUvj6pRs94VoT6wPH:3KVdyBnFK97p6UJcygBm4b9pRSzE3YRXfm:3NkLL7M9Gbk1k8G9jKsAddAzMgzyW1XKpS:368a5SnzKYpbhpiWCLyFTDj95iP3Qs1eC4:3CoaeFUJqU9X918o1z8nLX6zLrjcX4MreX:14BRasbtvcFHj4xu4T66gUGJFxb96Dcsmw:3NnAakwQ5socj2rprvuuTphL2dDpTYkHQ4:35PyZjZpedG5Z4u9vKkfGXaMhHQpMHA2AY:1BKGfw14zSj7LpnyeTv8rdxcTckqnSzVLE:1G2GLGC23PGCmEdrmR4AGzcWpyoH4gtjJ3:38LvGx5xQGboc5mH8pUEP3HHF8jA93i76y:3AwsW3TKuTHaavojCEtcN5mgGLD8MzZkrE:1Gs7Aztizk2rNNSE6AbpK4K7yAFTCZKV9a:33n6rhnJmYpTVaqK2mdk9f7yNbfWgLvj8y:3ESbk5PooC4yifrRYwDvw7MxsYvLBUFKvS:354RSy17QPhtYfGTF9BTzmk1HmqYGz38Zb:3BxXA9Vmi3bUUu5RNbp9gXqJUkzgMLDf3i:3K98JrbqXYYhhJbL4fFd3BN8EEXDNmXXEj,149850:1440000:149284:960213:3585836:159725:179106:11259846:293863:170607:179188:158667:351384:73292:173730:167952:134274:2024959,1QCt3JMuwSQR7r2i4gSB3NXjG6QRvtFr5P,21227549,384227
992debab2f4891fddb0bb4d600cc1e0f50866023e8084109135cf8b8c465b4a0,39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY,712142343,39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY:36wYQUJZ9c1k6sg1MSyZPadTYW3ZJiyizM,711953205:185090,4048
6f67b1eabf711267658f87c394e29f20af9d45e0586e8a1b0615baa5c9073f83,1CEkrL4rczVYgkgTk9fbGYJPjGi5uZVUPp,4030000,32cCaPNTRdd2Dm4WC2jZKBT5fXMcz7nuMJ:bc1qfvl920n6h7hkcupj3gmx5n3udsea33n2uczx88,898285:3131145,570
e9ae0d1581a3e7d20f5d95fb394c105fb8bac1c2cd70d4c997b1b0f0f4377b92,bc1qqea7kztuknhtch37j0px9qkmxrcul4ztqcwk0u,1125921,3BWfaUhhM5gzLaQgVhNsQDJ1nbtnbGq7K7,1119846,6075
58758d68fd594d4f20e72b7d8163441d3282047d90d495902c22ebcd12b94dc9,bc1qz6mfrrzf3zqqthq7ranjhdz07lldftwjruud5q,208629,18y4PRya4A98nmnVXHUPahqnxPXDL5WA8H:bc1qcwerxxvumzwqcm8yamwn8ucwmj8mlq3m8y6g9g,156996:43842,7791
2b010e0c26729799fbe180eb0b56237b43e317ad12fec80362cece6b3ae0e65d,38CuFFDAu8qqqUDVTkuCjpnPxb3kzHFBcs,61321964,13yB4UzDfxtnQ6WaxfD36vHeauNe5UGB6v:3Lh7LFG9q4jgYrsjyRHuPi4yGUNxb67rmf:38CuFFDAu8qqqUDVTkuCjpnPxb3kzHFBcs,777823:3241203:57297898,5040
b468efb2967050a8d32d27deed2bfeca4459da84d332aad31201c6660d2e7530,bc1qjys4wwyjeghzx7s25qq03cs6ynyx3q5q0mrgxu:bc1qwxqxd25yk2dtw2ml04vxj9atq3huv4rdytf6vt:bc1qz2fxxln0q5e0x7rer4uqvjyg8a7pt5fdeldkvx:bc1qvf46ehj4d7lqfnmchtslzkx8awc3w5xy65zfql:bc1qdy08z5djhs64pmp8yjj7tnwtxxajf2ecm4qcg8,420597:80219196:103189003:345166104:3337719,1PtisVSu6HkjfbKPdVZKe5ifTWwjG9nXpv:1GMA6Dp7wgS4KLpAq251KmF2M6fRGirDRz:36FAVEHmar3MCum18qVLZizv7N8WQqg3Ez:bc1qnw634z82lw28j2mr8vg0g8x42ehs3h6lhrn9r2:bc1qw329466hjtrruutyle0kfmd67nyvh3026rvzg8:16EqVYqVxyCX18R15RrduyAbwrh4iELFt2:1KKAN18jhE666aTXQ2XYySqYQRRA5esGTr:1Fnr7h4t722ua8AHhU3pP1khF3s9gVg38G:3FyywC1r7vqFi51rZFjYRM2k7P4n4jyVTw:1LP6MTeVoCEuxUuE6HZfPww1KLDtBQCgqb:3AvMVByiajTcBqioXmudqmYHU1qQjViz5H:1PR63hGU98zZCPSCfLeK6vECRwJBkNBtoD:1M4HMU5auKvnBP6aYXkh4gEjcRhrnrh5xy:bc1qja2mr62kyaamqhrur7ptugw4ddx52hqgszayxa:1N1kuvbTuG15FzhYobg4Yyu6Rf5N8m74cb:3GeP95hKhVs85K422qEYSDyVVdRaKNZd5J:3HvMHbsVdr1tEimWu5HsQtqBXf8ziyVUZa:1PWNQrnU2REimXsQLwhhKdWMJdhXBMLKh:1EmiY2JrTkEsY5ijDJVFkrJgpvRtmcy4C2:3CTWG13G69wWhvX3S4cSr6hjVa5aWGY9f8:bc1q22u4ug9utjzsth4jk7jsw8tg0vx8u52cped5uh:1LMZR8EVvFQoVL1dCbg4AP6r4Ehsp3EL38:37ei4nMqTZQ3sp3zT39bwaxJ9c4bMSyvex:1FUsb7Cr6ygRQscmxgqAjrnfeZewx1sUEG:135D9vjY82EnZN7Muyjpm4EGN77utcyW5V:3PUWSfEMg5WxR6wSVrP4h8idSKtwMw4jcC:bc1q7g7k5cjesumsfufmtd2072u68lh4ww9hdssq86:15TqH6kHiRtX3u8AoGxjzTmji91AmVNqMX:36Wro7oyeY8q6XEHcHegVeqcsUF7qWE8cy:1Dm4UgnDRo4w5w6WTikg9Kr8f5eD5BXk8q:13igP1wWpfB4m95ttcZPaWXbCEhJfFwkVD:3ETRUuNBZgnegturd8poKDxZnWaYgjfv1v:1CwTnaMZA2cJbnnqFQKZZy7y5EkV9cuBFP:3GXo3mkbuXqfUhWgQddDZNFPXVizCm2yTT:3Q7rTdN1rXbi4seQ53ZWX4GZwh7b4DExui:3Lw5pxighsPqP1yqFoLTDKmczXuidFkXjZ:17YPfiJwEDJyrVj2UMdj82ZnSTSeJobmqC:1Cxt6FCyT1Lpwy1ht6iDuFWf7ebeR2KRyM:3CMnAkq1oaEEp6FumYchSvYN8krCnnwvn5:1LZvcAG2LRfE8tbpMcVhxnXL9wU9XxS3Wh,21562503:2665402:6700000:839630:68491000:13042300:10806517:722911:40000:8733317:130000:29884788:2003817:1052877:1421499:2161159:3075421:13180284:13058769:1782392:5896417:8518848:6090702:8770000:8565013:4226059:1943883:66175349:127100:39990000:66175350:1289050:13259624:8900000:2941226:24799400:32035487:19298824:8910000:3024833,40868
3489db38e7bdc397b647cd7bfd6d6bb16b9e281a7d6a129fe5624e73ebbe9033,1Mj2ff6URYRfLVbLvfjwaujGLF6hT73PRb,826455,1BWQ57CF5yrzvqitXasyEHi5FZTX5gRMgJ:3Bz65ohk8JZrQezHs61eE7S1qYq4hzTSBj,7167:804987,14301
a1b8eebbb8d4b63efa50f01075e28e5ed97d879cbe1b419bc1379c2b18196aaa,163y4H32GbQSM8qgKwsDfyhmmvDnHKKaaa:163y4H32GbQSM8qgKwsDfyhmmvDnHKKaaa,889859:8344661,1Bpji6gtVZovEzFxC5jPao5AWoG6TYuLGM:163y4H32GbQSM8qgKwsDfyhmmvDnHKKaaa,546:9212291,21683
b0ff540c20053338ac8276b7b0579e344ed34a20bb6de5235837e0fd47b26fc1,bc1qaumc97pufuaq0xk3xv0smky4zmje8h02jvvrjx,3195964,3G6u5ZVP1bEyPhqacEiYKVwZ7QBg221X7N:bc1qaumc97pufuaq0xk3xv0smky4zmje8h02jvvrjx,65925:3128745,1294
d5cb15c89f917e269a57bc40d1926b373d96046024abebf0ff722ef4f63b51f7,3PqDJUJM72QtRgEF13tAZRKPAtSHrVvaru,25054504,32PCtJimU9QCnYCMMGuMqdaeyyWe22U1ci:3BoDwyqwP41n52cbYUd2vK4szVAN8AEAXU,2400000:22645486,9018
fdbf174918380d3c339b0657f615c9853d38e7ff2d297571e85eed1bd23c95e5,3H7ZYXReD3Xgb5qX51ZQzm7RrYbzW5QCtu,248757,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,245963,2794
e38097dd20c17666d2a8cc743f13415edc77840c8ac80a096f1a4eccc171ea72,3DHJF9nYWU7DcKEb4gVGeN6tdGsUjJZ9ha,112189877,39aHxJgpX3rjzrLC3WSthvW9LLXpVZcrgJ:36eyntvs2Vcsmm5k8njMGYFYL1bUL9c2p4,47496269:64684677,8931
